precio,ubicacion,tamanio,direccion,colonia,alcaldia
9500," luz saviñon,  Del Valle Centro, Benito Juárez",704, luz saviñon,  Del Valle Centro, Benito Juárez
350," Prol. Paseo de la Reforma,  Santa Fe, Alvaro Obregón",75, Prol. Paseo de la Reforma,  Santa Fe, Alvaro Obregón
4500," Alcanfores ,  San José de los Cedros, Cuajimalpa de Morelos",30, Alcanfores ,  San José de los Cedros, Cuajimalpa de Morelos
9500," Norte 70 ,  Bondojito, Gustavo A. Madero",47, Norte 70 ,  Bondojito, Gustavo A. Madero
13000," Xola 964,  Narvarte Poniente, Benito Juárez",24, Xola 964,  Narvarte Poniente, Benito Juárez
16000," Arquimedes 183 ,  Polanco, Miguel Hidalgo",271, Arquimedes 183 ,  Polanco, Miguel Hidalgo
20000," norte ,  Pensador Mexicano, Venustiano Carranza",63, norte ,  Pensador Mexicano, Venustiano Carranza
2500," 5 de Febrero 469,  Algarín, Cuauhtémoc",1, 5 de Febrero 469,  Algarín, Cuauhtémoc
11000," Calzada de las Bombas No. 326,  Los Cedros, Coyoacán",17, Calzada de las Bombas No. 326,  Los Cedros, Coyoacán
38000," Parroquia  Del Valle,  Del Valle Sur, Benito Juárez",60, Parroquia  Del Valle,  Del Valle Sur, Benito Juárez
32000," Av. insurgentes sur,  Guadalupe Inn, Alvaro Obregón",551, Av. insurgentes sur,  Guadalupe Inn, Alvaro Obregón
14000," AVENIDA CUAUHTEMOC ,  Narvarte Oriente, Benito Juárez",12, AVENIDA CUAUHTEMOC ,  Narvarte Oriente, Benito Juárez
18000," ROMA NORTE,  Roma Norte, Cuauhtémoc",25, ROMA NORTE,  Roma Norte, Cuauhtémoc
26500," Ejercito Nacional 400,  Polanco IV Sección, Polanco",28, Ejercito Nacional 400,  Polanco IV Sección, Polanco
3984," Álvaro Obregón 19,  San Juan Tepeximilpa, Tlalpan",21, Álvaro Obregón 19,  San Juan Tepeximilpa, Tlalpan
10000," VERONICA ANZUREZ,  Verónica Anzures, Miguel Hidalgo",16, VERONICA ANZUREZ,  Verónica Anzures, Miguel Hidalgo
20000," Kelvin,  Miguel Hidalgo, Alvaro Obregón",80, Kelvin,  Miguel Hidalgo, Alvaro Obregón
38000," Calle 4,  San Pedro de los Pinos, Benito Juárez",80, Calle 4,  San Pedro de los Pinos, Benito Juárez
5500," Calzada de las bombas,  Culhuacan CTM , Coyoacán",15, Calzada de las bombas,  Culhuacan CTM , Coyoacán
34684," Calle del Carmen,  San Ángel, Alvaro Obregón",46, Calle del Carmen,  San Ángel, Alvaro Obregón
11350," Álvaro Obregón,  Roma Norte, Cuauhtémoc",11, Álvaro Obregón,  Roma Norte, Cuauhtémoc
17000," YUCATAN 11,  Hipódromo, Cuauhtémoc",221, YUCATAN 11,  Hipódromo, Cuauhtémoc
37000," MONTE ALBAN,  Narvarte Oriente, Benito Juárez",74, MONTE ALBAN,  Narvarte Oriente, Benito Juárez
16850," Calzada Legaria,  Pensil Norte, Miguel Hidalgo",5825, Calzada Legaria,  Pensil Norte, Miguel Hidalgo
9800," 12  Oriente,  Isidro Fabela, Tlalpan",36, 12  Oriente,  Isidro Fabela, Tlalpan
9600," Nogal,  Santa María la Ribera, Cuauhtémoc",131, Nogal,  Santa María la Ribera, Cuauhtémoc
20000," CHIHUAHUA,  Progreso Tizapán, Alvaro Obregón",64, CHIHUAHUA,  Progreso Tizapán, Alvaro Obregón
22800," Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",56, Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan
20000," Kelvin,  Anzures, Miguel Hidalgo",80, Kelvin,  Anzures, Miguel Hidalgo
50000," Cráter 823,  Jardines del Pedregal, Alvaro Obregón",801, Cráter 823,  Jardines del Pedregal, Alvaro Obregón
70000," Av. Marina Nacional,  Anáhuac I Sección, Miguel Hidalgo",70, Av. Marina Nacional,  Anáhuac I Sección, Miguel Hidalgo
50000," Calzada de Tlalpan 2643,  Xotepingo, Coyoacán",48, Calzada de Tlalpan 2643,  Xotepingo, Coyoacán
20000," av baja california,  Condesa, Cuauhtémoc",80, av baja california,  Condesa, Cuauhtémoc
80000," AV. ARNESES,  San Antonio CulhuacAn, Iztapalapa",50, AV. ARNESES,  San Antonio CulhuacAn, Iztapalapa
23000," Av. baja california,  Condesa, Cuauhtémoc",141, Av. baja california,  Condesa, Cuauhtémoc
4500," Av. División del Norte 825, Col. Del valle Centro, Benito Juárez,  Del Valle Centro, Benito Juárez",8, Av. División del Norte 825, Col. Del valle Centro," Benito Juárez,  Del Valle Centro, Benito Juárez"
11000," RÍO BECERRA,  San Pedro de los Pinos, Benito Juárez",35, RÍO BECERRA,  San Pedro de los Pinos, Benito Juárez
28500," Av. del Peñón,  Moctezuma, Venustiano Carranza",30, Av. del Peñón,  Moctezuma, Venustiano Carranza
25000," Campeche,  Hipódromo Condesa, Cuauhtémoc",21, Campeche,  Hipódromo Condesa, Cuauhtémoc
12900," Soria 70,  Álamos, Benito Juárez",15, Soria 70,  Álamos, Benito Juárez
38073," Altamirano ""San Cosme"",  San Rafael, Cuauhtémoc",54," Altamirano ""San Cosme""",  San Rafael, Cuauhtémoc
20000," ROMERO DE TERREROS,  Del Valle Norte, Benito Juárez",20, ROMERO DE TERREROS,  Del Valle Norte, Benito Juárez
20000," Calzada de Tlalpan,  Ciudad Jardín, Coyoacán",48, Calzada de Tlalpan,  Ciudad Jardín, Coyoacán
14000," Planta Alta en la Colonia Roma Norte Ideal Para Oficina o Consultorio,  Roma, Cuauhtémoc",40, Planta Alta en la Colonia Roma Norte Ideal Para Oficina o Consultorio,  Roma, Cuauhtémoc
35000," Del Valle Sur,  Del Valle Sur, Benito Juárez",68, Del Valle Sur,  Del Valle Sur, Benito Juárez
2600," Pedro acevez,  Santa Martha Acatitla Sur, Iztapalapa",16, Pedro acevez,  Santa Martha Acatitla Sur, Iztapalapa
4236," Álvaro Obregón 19 ,  San Juan Tepeximilpa, Tlalpan",23, Álvaro Obregón 19 ,  San Juan Tepeximilpa, Tlalpan
14000," CALZADA LEGARIA # LOCAL ,  Irrigación, Miguel Hidalgo",19, CALZADA LEGARIA # LOCAL ,  Irrigación, Miguel Hidalgo
42250," Juan Salvador Agraz,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",651, Juan Salvador Agraz,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos
11000," Calle 13,  Ampliación Progreso Nacional, Gustavo A. Madero",35, Calle 13,  Ampliación Progreso Nacional, Gustavo A. Madero
2800000," Imuris,  Alvaro Obregón, Venustiano Carranza",80, Imuris,  Alvaro Obregón, Venustiano Carranza
18000," Coahuila,  Roma Norte, Cuauhtémoc",12, Coahuila,  Roma Norte, Cuauhtémoc
30000," Londres 275, Juarez, Cuauhtémoc C. P. 06600,  Juárez, Cuauhtémoc",55, Londres 275, Juarez," Cuauhtémoc C. P. 06600,  Juárez, Cuauhtémoc"
30000," INSURGENTES CENTRO ,  Tabacalera, Cuauhtémoc",30, INSURGENTES CENTRO ,  Tabacalera, Cuauhtémoc
4000," AV.UNIVERSIDAD ,  Santa Cruz Atoyac, Benito Juárez",3, AV.UNIVERSIDAD ,  Santa Cruz Atoyac, Benito Juárez
14500," Oriente 81 4315, la Malinche ,  La Malinche, Gustavo A. Madero",221, Oriente 81 4315, la Malinche ,"  La Malinche, Gustavo A. Madero"
11000," Soria 70,  Álamos, Benito Juárez",30, Soria 70,  Álamos, Benito Juárez
15000," ROMA NORTE,  Roma Norte, Cuauhtémoc",101, ROMA NORTE,  Roma Norte, Cuauhtémoc
20000," Calzada de Tlalpan,  Xotepingo, Coyoacán",48, Calzada de Tlalpan,  Xotepingo, Coyoacán
50000," JUAN SALVADOR AGRAZ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",761, JUAN SALVADOR AGRAZ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos
16500," Verónica Anzures,  Verónica Anzures, Miguel Hidalgo",58, Verónica Anzures,  Verónica Anzures, Miguel Hidalgo
15000," AÑIL 667 LOCAL 3,  Granjas México, Iztacalco",76, AÑIL 667 LOCAL 3,  Granjas México, Iztacalco
12500," MANUEL J OTHON ,  Obrera, Cuauhtémoc",40, MANUEL J OTHON ,  Obrera, Cuauhtémoc
11000," Francisco Petrarca ,  Polanco, Miguel Hidalgo",15, Francisco Petrarca ,  Polanco, Miguel Hidalgo
26000," Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón",50, Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón
24350," Av. del Peñón,  Moctezuma, Venustiano Carranza",24, Av. del Peñón,  Moctezuma, Venustiano Carranza
35000," Eje Central Lazaro Cardenas,  Obrera, Cuauhtémoc",74, Eje Central Lazaro Cardenas,  Obrera, Cuauhtémoc
38976," Lago Rodolfo ,  Granada, Miguel Hidalgo",801, Lago Rodolfo ,  Granada, Miguel Hidalgo
40000," ACTIPAN,  Actipan, Benito Juárez",80, ACTIPAN,  Actipan, Benito Juárez
9500," CERRADA DE RIO FRIO 1,  Agrícola Oriental, Iztacalco",72, CERRADA DE RIO FRIO 1,  Agrícola Oriental, Iztacalco
10000," AVENIDA CAFETALES,  Coyoacán, Ciudad de México",60, AVENIDA CAFETALES,  Coyoacán, Ciudad de México
28000," SANTA MARIA LA RIBERA,  Santa María la Ribera, Cuauhtémoc",45, SANTA MARIA LA RIBERA,  Santa María la Ribera, Cuauhtémoc
32000," DEL VALLE CENTRO,  Del Valle Centro, Benito Juárez",75, DEL VALLE CENTRO,  Del Valle Centro, Benito Juárez
12000," Magdalena Atlazolpa 31  Iztapalapa, ,  Magdalena Atlazolpa, Iztapalapa",76, Magdalena Atlazolpa 31  Iztapalapa, ,"  Magdalena Atlazolpa, Iztapalapa"
8950," Canal de Miramontes,  Los Ciruelos, Coyoacán",4, Canal de Miramontes,  Los Ciruelos, Coyoacán
9000," Isabel la Catolica,  Niños Héroes, Benito Juárez",121, Isabel la Catolica,  Niños Héroes, Benito Juárez
16500," AV. SAN JERONIMO,  Tizapan, Alvaro Obregón",24, AV. SAN JERONIMO,  Tizapan, Alvaro Obregón
11000," Florida ,  Nochebuena, Benito Juárez",32, Florida ,  Nochebuena, Benito Juárez
19500," avenida revolución 2015,  La Otra Banda, Coyoacán",39, avenida revolución 2015,  La Otra Banda, Coyoacán
16000," San Jeronimo Lidice ,  San Jerónimo Lídice, La Magdalena Contreras",392, San Jeronimo Lidice ,  San Jerónimo Lídice, La Magdalena Contreras
20000," UNIVERSIDAD,  Narvarte Oriente, Benito Juárez",22, UNIVERSIDAD,  Narvarte Oriente, Benito Juárez
8800," Periferico Sur,  Pedregal de Carrasco, Coyoacán",42, Periferico Sur,  Pedregal de Carrasco, Coyoacán
40180," Bernardo Quintana 34,  Santa Fe, Alvaro Obregón",80, Bernardo Quintana 34,  Santa Fe, Alvaro Obregón
27845," Av. Montevideo  ,  Lindavista, Gustavo A. Madero",421, Av. Montevideo  ,  Lindavista, Gustavo A. Madero
26500," Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",292, Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo
70000," Durango,  Roma Norte, Cuauhtémoc",68, Durango,  Roma Norte, Cuauhtémoc
57000," Leibnitz,  Anzures, Miguel Hidalgo",74, Leibnitz,  Anzures, Miguel Hidalgo
30000," Estrella ,  San Nicolás Tolentino, Iztapalapa",654, Estrella ,  San Nicolás Tolentino, Iztapalapa
14000," Moliere,  Polanco, Miguel Hidalgo",231, Moliere,  Polanco, Miguel Hidalgo
8000," calle retorno 102 ,  Lomas de Sotelo, Miguel Hidalgo",35, calle retorno 102 ,  Lomas de Sotelo, Miguel Hidalgo
4498000," central de abasto,  Central de Abasto, Iztapalapa",401, central de abasto,  Central de Abasto, Iztapalapa
80000," AV. ARNESES, Culhuacán,  Los Reyes, Xochimilco",50, AV. ARNESES, Culhuacán,"  Los Reyes, Xochimilco"
41857," Av. del Peñón,  Moctezuma, Venustiano Carranza",44, Av. del Peñón,  Moctezuma, Venustiano Carranza
11000," Av. Pdte. Plutarco Elías Calles,  Nueva Santa Anita, Iztacalco",41, Av. Pdte. Plutarco Elías Calles,  Nueva Santa Anita, Iztacalco
10500," TENOSIQUE,  San Nicolás 2, Tlalpan",50, TENOSIQUE,  San Nicolás 2, Tlalpan
48000," Calle frontera ,  Roma Norte, Cuauhtémoc",461, Calle frontera ,  Roma Norte, Cuauhtémoc
2600," Manuel Gandara 15, Zona Urbana Ejidal Santa Martha Acatitla Sur ,  Santa Martha Acatitla Sur, Iztapalapa",16, Manuel Gandara 15, Zona Urbana Ejidal Santa Martha Acatitla Sur ,"  Santa Martha Acatitla Sur, Iztapalapa"
13000," CUMBRES ,  Narvarte Poniente, Benito Juárez",30, CUMBRES ,  Narvarte Poniente, Benito Juárez
30000," Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",60, Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo
45000," BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo",45, BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo
50000," Viad. Pdte. Miguel Alemán Valdés 269,  Tacubaya, Miguel Hidalgo",42, Viad. Pdte. Miguel Alemán Valdés 269,  Tacubaya, Miguel Hidalgo
10000," Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc",10, Hipodromo Condesa,  Hipódromo Condesa, Cuauhtémoc
13475," Ricardo Flores Magón,  Santa María la Ribera, Cuauhtémoc",77, Ricardo Flores Magón,  Santa María la Ribera, Cuauhtémoc
8000," jose tomas cuellar 106,  Obrera, Cuauhtémoc",32, jose tomas cuellar 106,  Obrera, Cuauhtémoc
18000," Local en Renta en la Progreso Nacional,  Progreso Nacional, Gustavo A. Madero",64, Local en Renta en la Progreso Nacional,  Progreso Nacional, Gustavo A. Madero
16000," Miguel Noreña 33,  San José Insurgentes, Benito Juárez",35, Miguel Noreña 33,  San José Insurgentes, Benito Juárez
49000," OHIO,  Nápoles, Benito Juárez",773, OHIO,  Nápoles, Benito Juárez
14400," Arizona 105, Napoles,  Nápoles, Benito Juárez",26, Arizona 105, Napoles,"  Nápoles, Benito Juárez"
50000," Masaryk,  Polanco, Miguel Hidalgo",50, Masaryk,  Polanco, Miguel Hidalgo
26500," Ejercito Nacional 400,  Polanco IV Sección, Polanco",28, Ejercito Nacional 400,  Polanco IV Sección, Polanco
20000," Canal de Miramontes al 2000,  Los Girasoles, Coyoacán",50, Canal de Miramontes al 2000,  Los Girasoles, Coyoacán
9500," Arquitectura ,  Copilco Universidad, Coyoacán",10, Arquitectura ,  Copilco Universidad, Coyoacán
6500," Mercado Lazaro Cárdenas,  Del Valle Norte, Benito Juárez",5, Mercado Lazaro Cárdenas,  Del Valle Norte, Benito Juárez
10000," Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón",183, Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón
39000," Dr. Atl al 200,  Santa María la Ribera, Cuauhtémoc",77, Dr. Atl al 200,  Santa María la Ribera, Cuauhtémoc
3000," Ermita Iztapalapa ,  Reforma Política, Iztapalapa",18, Ermita Iztapalapa ,  Reforma Política, Iztapalapa
45000," Av. Río San Joaquín 6101a,  Popo, Miguel Hidalgo",80, Av. Río San Joaquín 6101a,  Popo, Miguel Hidalgo
2310," Dr. Atl al 200,  Santa María la Ribera, Cuauhtémoc",77, Dr. Atl al 200,  Santa María la Ribera, Cuauhtémoc
39000," Locales en Renta Tipo Contenedor Zona sur de la Ciudad,  Santa Úrsula Xitla, Tlalpan",50, Locales en Renta Tipo Contenedor Zona sur de la Ciudad,  Santa Úrsula Xitla, Tlalpan
4800," Av. Arneses 7,  Barrio San Antonio CulhuacAn, Iztapalapa",24, Av. Arneses 7,  Barrio San Antonio CulhuacAn, Iztapalapa
15000," NORTE 164,  Pensador Mexicano, Venustiano Carranza",63, NORTE 164,  Pensador Mexicano, Venustiano Carranza
8000," Ocaso 101,  Insurgentes Cuicuilco, Coyoacán",4011, Ocaso 101,  Insurgentes Cuicuilco, Coyoacán
10000," Piñón 2,  San José de los Cedros, Cuajimalpa de Morelos",28, Piñón 2,  San José de los Cedros, Cuajimalpa de Morelos
80000," Masaryk 180,  Polanco IV Sección, Polanco",45, Masaryk 180,  Polanco IV Sección, Polanco
25," Bahía Magdalena 31,  Verónica Anzures, Miguel Hidalgo",45, Bahía Magdalena 31,  Verónica Anzures, Miguel Hidalgo
12000," Av. Stim 39 ,5m2,  Bosques de las Lomas, Cuajimalpa de Morelos",5, Av. Stim 39 ,5m2,"  Bosques de las Lomas, Cuajimalpa de Morelos"
12000," Avenida Tlahuac 6716,  Santiago Centro, Tláhuac",654, Avenida Tlahuac 6716,  Santiago Centro, Tláhuac
7500," Alfonso Caso 107,  Campestre, Alvaro Obregón",24, Alfonso Caso 107,  Campestre, Alvaro Obregón
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50, Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón
8000," Poniente 110 752,  Defensores de La República, Gustavo A. Madero",80, Poniente 110 752,  Defensores de La República, Gustavo A. Madero
9000," Av 414 & Calle 1525,  San Juan de Aragón VI Secc, Gustavo A. Madero",20, Av 414 & Calle 1525,  San Juan de Aragón VI Secc, Gustavo A. Madero
12000," Calzada Azcapotzalco - La Villa 1227,  Lindavista Norte, Gustavo A. Madero",29, Calzada Azcapotzalco - La Villa 1227,  Lindavista Norte, Gustavo A. Madero
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50, Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón
18900," Medellín 32,  Roma Norte, Cuauhtémoc",32, Medellín 32,  Roma Norte, Cuauhtémoc
22000," San Luis Potosí 60,  Roma Norte, Cuauhtémoc",40, San Luis Potosí 60,  Roma Norte, Cuauhtémoc
5500," Avenida 5 de Mayo 32,  Centro , Cuauhtémoc",25, Avenida 5 de Mayo 32,  Centro , Cuauhtémoc
10000," Calle 5 de Febrero 224,  Obrera, Cuauhtémoc",26, Calle 5 de Febrero 224,  Obrera, Cuauhtémoc
12000," Eje 3 Ote & Avenida taxqueña,  San Antonio CulhuacAn, Iztapalapa",721, Eje 3 Ote & Avenida taxqueña,  San Antonio CulhuacAn, Iztapalapa
10000," Colonia Condesa,  Condesa, Cuauhtémoc",182, Colonia Condesa,  Condesa, Cuauhtémoc
15000," Oriente 257 11,  Agrícola Oriental, Iztacalco",80, Oriente 257 11,  Agrícola Oriental, Iztacalco
11000," Renta Excelente Local en una Plaza Comercial,  Cuajimalpa, Cuajimalpa de Morelos",33, Renta Excelente Local en una Plaza Comercial,  Cuajimalpa, Cuajimalpa de Morelos
40000," Actipan ,  Actipan, Benito Juárez",80, Actipan ,  Actipan, Benito Juárez
10000," Calzada Legaria 52-B,  Tacuba, Miguel Hidalgo",19, Calzada Legaria 52-B,  Tacuba, Miguel Hidalgo
39960," Vasco de Quiroga  al 3900,  Santa Fe, Alvaro Obregón",45, Vasco de Quiroga  al 3900,  Santa Fe, Alvaro Obregón
100000," Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo",69, Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo
12000," Oriente 166 291,  Moctezuma, Venustiano Carranza",20, Oriente 166 291,  Moctezuma, Venustiano Carranza
20200," Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan",582, Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan
15000," Camino del Triunfo A,  Campestre Aragón, Gustavo A. Madero",702, Camino del Triunfo A,  Campestre Aragón, Gustavo A. Madero
7000," Local en Renta, Excelente Ubicación.,  Santa Úrsula Xitla, Tlalpan",13, Local en Renta, Excelente Ubicación.,"  Santa Úrsula Xitla, Tlalpan"
7200," Avenida Insurgentes Norte 1949,  Santa Isabel Tola, Gustavo A. Madero",26, Avenida Insurgentes Norte 1949,  Santa Isabel Tola, Gustavo A. Madero
8000," Moldeadores 138,  Pro-Hogar, Azcapotzalco",40, Moldeadores 138,  Pro-Hogar, Azcapotzalco
6000," La Era,  San Bartolo Ameyalco, Alvaro Obregón",461, La Era,  San Bartolo Ameyalco, Alvaro Obregón
27648," Vasco de quiroga,  Santa Fe, Alvaro Obregón",61, Vasco de quiroga,  Santa Fe, Alvaro Obregón
4500," Calle Sur 103 702,  Sector Popular, Iztapalapa",16, Calle Sur 103 702,  Sector Popular, Iztapalapa
34000," Fernando de Alva Ixtlilxochitl 27,  Obrera, Cuauhtémoc",40, Fernando de Alva Ixtlilxochitl 27,  Obrera, Cuauhtémoc
17500," Calle Lucerna ,  Juárez, Cuauhtémoc",22, Calle Lucerna ,  Juárez, Cuauhtémoc
18500," San Pedro de los Pinos,  San Pedro de los Pinos, Benito Juárez",65, San Pedro de los Pinos,  San Pedro de los Pinos, Benito Juárez
11000," Avenida Presidente Plutarco Elías Calles 1050,  San Andrés Tetepilco, Iztapalapa",26, Avenida Presidente Plutarco Elías Calles 1050,  San Andrés Tetepilco, Iztapalapa
80000," Masaryk 180,  Polanco IV Sección, Polanco",45, Masaryk 180,  Polanco IV Sección, Polanco
30000," Local en Renta, Excelente Ubicación.,  San Jerónimo Lídice, La Magdalena Contreras",50, Local en Renta, Excelente Ubicación.,"  San Jerónimo Lídice, La Magdalena Contreras"
6000," Calle Teniente José Espinoza Fuentes 434,  Escuadrón 201, Iztapalapa",25, Calle Teniente José Espinoza Fuentes 434,  Escuadrón 201, Iztapalapa
13500," Calle Salvador Díaz Mirón 278,  Agricultura, Miguel Hidalgo",351, Calle Salvador Díaz Mirón 278,  Agricultura, Miguel Hidalgo
28000," Local en Renta Excelente Ubicación a pie de Calle.,  Santa Úrsula Xitla, Tlalpan",55, Local en Renta Excelente Ubicación a pie de Calle.,  Santa Úrsula Xitla, Tlalpan
17000," Doctor Barragán 307,  Doctores, Cuauhtémoc",40, Doctor Barragán 307,  Doctores, Cuauhtémoc
7000," Locales en Renta, Lagunilla, Cdmx,  Centro , Cuauhtémoc",15, Locales en Renta, Lagunilla," Cdmx,  Centro , Cuauhtémoc"
12000," Calzada Santa Anita 88 ,k-1,  Viaducto Piedad, Iztacalco",6, Calzada Santa Anita 88 ,k-1,"  Viaducto Piedad, Iztacalco"
26500," Ejercito Nacional 400,  Polanco IV Sección, Polanco",28, Ejercito Nacional 400,  Polanco IV Sección, Polanco
7500," Dinamarca 60,  Juárez, Cuauhtémoc",8, Dinamarca 60,  Juárez, Cuauhtémoc
10000," Anaxágoras 1370,  Letrán Valle, Benito Juárez",20, Anaxágoras 1370,  Letrán Valle, Benito Juárez
26850," Monterrey,  Roma Norte, Cuauhtémoc",24, Monterrey,  Roma Norte, Cuauhtémoc
11000," Renta DE Consultorios Nuevos, Equipados Y CON Servicios,  Vallejo, Gustavo A. Madero",14, Renta DE Consultorios Nuevos, Equipados Y CON Servicios,"  Vallejo, Gustavo A. Madero"
45000," PASEO DE LAS PALMAS LOMAS DE CHAPULTEPEC,  Lomas de Chapultepec, Miguel Hidalgo",501, PASEO DE LAS PALMAS LOMAS DE CHAPULTEPEC,  Lomas de Chapultepec, Miguel Hidalgo
5250000," Carretera México Toluca ,  Bosques de las Lomas, Cuajimalpa de Morelos",605, Carretera México Toluca ,  Bosques de las Lomas, Cuajimalpa de Morelos
20000," Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan",56, Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan
20000," Av. 16 de Septiembre 197,  Santa Inés, Azcapotzalco",40, Av. 16 de Septiembre 197,  Santa Inés, Azcapotzalco
20000," Adolfo Prieto 501,  Del Valle Centro, Benito Juárez",20, Adolfo Prieto 501,  Del Valle Centro, Benito Juárez
15500," Prolongación División del Norte 4983,  San Lorenzo La Cebada, Xochimilco",4512, Prolongación División del Norte 4983,  San Lorenzo La Cebada, Xochimilco
19500," Calzada Taxqueña 1556,  Campestre Churubusco, Coyoacán",25, Calzada Taxqueña 1556,  Campestre Churubusco, Coyoacán
12651," Av. Ceylan  al 700,  Santa Catarina, Azcapotzalco",42, Av. Ceylan  al 700,  Santa Catarina, Azcapotzalco
45000," Av .de las Fuentes, Jardines del Pedregal,  Jardines del Pedregal, Alvaro Obregón",8031, Av .de las Fuentes, Jardines del Pedregal,"  Jardines del Pedregal, Alvaro Obregón"
19000," Kelvin 8,  Anzures, Miguel Hidalgo",121, Kelvin 8,  Anzures, Miguel Hidalgo
25000," Arquímides al 100,  Polanco, Miguel Hidalgo",26, Arquímides al 100,  Polanco, Miguel Hidalgo
5500," Pescadores,  El Rosario, Azcapotzalco",203, Pescadores,  El Rosario, Azcapotzalco
9600," Av Chapultepec 233b,  Juárez, Cuauhtémoc",12, Av Chapultepec 233b,  Juárez, Cuauhtémoc
30000," Av San Bernabe al 2600,  San Bernabé Ocotepec, La Magdalena Contreras",75, Av San Bernabe al 2600,  San Bernabé Ocotepec, La Magdalena Contreras
9800," Avenida Plan de San Luis ,  Nueva Santa Maria, Azcapotzalco",20, Avenida Plan de San Luis ,  Nueva Santa Maria, Azcapotzalco
10000," Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón",183, Calzada de las Águilas,  Ampliación las Águilas, Alvaro Obregón
5600," Huitzilopochtli,  Ajusco, Coyoacán",20, Huitzilopochtli,  Ajusco, Coyoacán
40000," Juárez,  Juárez, Cuauhtémoc",54, Juárez,  Juárez, Cuauhtémoc
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50, Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón
20000," Cuajimalpa,  José Maria Castorena, Cuajimalpa de Morelos",80, Cuajimalpa,  José Maria Castorena, Cuajimalpa de Morelos
35000," Lope de Vega 157,  Polanco, Miguel Hidalgo",24, Lope de Vega 157,  Polanco, Miguel Hidalgo
10500," Monterrey 159,  Roma Norte, Cuauhtémoc",1, Monterrey 159,  Roma Norte, Cuauhtémoc
2590," Av. Río San Joaquín al 6100,  Popo, Miguel Hidalgo",80, Av. Río San Joaquín al 6100,  Popo, Miguel Hidalgo
14000," 5 de Febrero 462 Loc. 8 Algarín, Cuauhtémoc, 06880 Ciudad de México,  Algarín, Cuauhtémoc",30, 5 de Febrero 462 Loc. 8 Algarín, Cuauhtémoc," 06880 Ciudad de México,  Algarín, Cuauhtémoc"
6500," GRUPO GREMEX:sh,  Santa María Aztahuacan Ampliación, Iztapalapa",40110, GRUPO GREMEX:sh,  Santa María Aztahuacan Ampliación, Iztapalapa
7000," Eje Central Lázaro Cárdenas 45-1,  Doctores, Cuauhtémoc",202, Eje Central Lázaro Cárdenas 45-1,  Doctores, Cuauhtémoc
50000," Manzanares,  Centro , Cuauhtémoc",69, Manzanares,  Centro , Cuauhtémoc
10000," Cerrada de Matamoros 4,  Santa Fe Centro, Alvaro Obregón",67, Cerrada de Matamoros 4,  Santa Fe Centro, Alvaro Obregón
5500," AV GUDALUPE VICTORIA MZ38 LT35,  Cuautepec de Madero, Gustavo A. Madero",32, AV GUDALUPE VICTORIA MZ38 LT35,  Cuautepec de Madero, Gustavo A. Madero
15500," Ciencias 15,  Hipódromo Condesa, Cuauhtémoc",601, Ciencias 15,  Hipódromo Condesa, Cuauhtémoc
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50, Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón
28000," Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan",802, Local Comercial en Renta Excelente Ubicación en Insurgentes sur,  Santa Úrsula Xitla, Tlalpan
